参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
__,Thanks!,聽講係好似role play咁練唔同場景嘅會話，例如買嘢,本身有N1，但係無試過同人交流，所以想知道呢個course會唔會有啲tutor class（或者lecture本身已經係）可以俾個platform練習下,2,5,,,日語口語其實係讀啲咩？,,
想問下dean list出咗未(*¯︶¯*),出咗好耐 6月30cusis出 7月7號系統見到,你老母個閪就有你份,一都唔過你攞dean list 你咩系呀,1,10,,,,,
Dean list 討論區,Med fac 6號出左了,Med fac 出左未？,和聲523呢d只招待專科人😂,4,202,,,,,
收Airpod,AirPods 3 可在中大一同領取快遞 ，價錢可另議 謝,跟樓上出價🥹本身都要加400先買到,食水深喎,1,7,,,,,
__,Yup 問過res話幾時 declare都得,讀唔晒declare都無名架啦唔,最後讀得晒minor咪有個名lor,2,14,,,Declare Minor,,
男仔嘅你割左包皮未？,唔一定架？,好臭呀屌 快啲割啦,淘寶買個割包皮器,1,3,,,,,
多唔多人year3先讀書通?,yr2讀咗三個🤣,,,,,,,,1,1
有冇nursing同學有做開運動,有,想識多啲有挽開sports既同學！,🏀🏐⚽️,1,3,,,,,
求FH推薦professor🙏🏻,term paper要求高,但係的確教得好,我B,3,19,,,,,
(女)懇求ihouse換shaw宿🙏🏼🙏🏼🙏🏼,請問有冇shaw嘅女仔唔介意ihouse換shaw嘅宿😭😭😭朋友派咗去ihouse 佢本身情緒同心理健康都唔係咁好 佢最近屋企發生咗啲事好需要熟人陪伴 我好擔心佢會做傻事🙏🏼🙏🏼🙏🏼希望有好心人願意幫幫忙😭可以出薄酬 有意請tg @ytmkay 無限感激!!!🙇🏻‍♀️,,,,,,,,2,1
ELTU3016定ELTU3415,Pushhhh,pushhhh,3415 A-,1,7,,,,,
Shaw宿舍想換ihouse (女),Pushhh 可薄酬 有意可tg @ihplzzz 🥲🙏🏻,有冇shaw嘅女仔想ihouse換去shaw宿？ 我想換去ihouse同frd一齊住🥲Shaw宿preference未揀 可以你揀！Thxxx🙏🏻🙏🏻,,,,1,2,,,
☺️,請問wys的現在還有辦法swap到ihouse嗎～,,,,,,,請問wys的現在還可以申請換到ihouse嗎？謝謝！,1,1
shaw ihouse,一路都冇email 問下ih先,Deadline今日wor,shaw份名單話入左ihouse嘅人嗰邊會另外email聯絡我哋 但係我仲未有 有冇人已經收到？thanks,1,3,,,,,
Wys fyp,hi 想問仲收唔收人？🫣,Hi,Pm,1,7,,,,,
shaw二宿招男roommate,"下年升yr4，喜靜，1點前熄燈訓，乾淨，不太yo, 有意pm https://t.me/hahahaha12121212",,,,,,,,1,1
招湯宿男rm,88,Pm!,,,,1,2,,,
有冇人試過exchange trans到書通cred ？,書通一定要用equivalent course 大通就鬆啲,書通都係差唔多標準？,好難講，但大學通識部都算鬆手,2,9,,,,,
有冇ugeb 2cre course推薦🙏🏻,堅定流呀,ugeb2440 kendrew世一,Ugeb2364 Astley,3,4,,,,,
有冇2cred free elective推薦🙇🏻‍♂️,ug course一大堆,,,,,,,,1,1
shaw2宿搵roommate,本人男,下年升yr4，招2宿roommate，都唔太想yo了比較摺。最重要既方面係訓覺！😠😠我通常1點左右差唔多熄燈，最遲1點半訓。唔好臨深夜係到discord吵爆，之前深受其害真係頂唔順。正常整潔就ok，其他方面都隨意，有意pm。🙏🏻,,,,1,2,,,
CSCI2100同CSCI2520分別,好似冇咩人有講過佢 所以reg下去睇下伏唔伏先,sem1果班今年唔係yufei tao了,yufei tao都比較難如果佢有開,2,17,,,,,
Shaw 招男rm,搵咗了🙏🏻,升year 2 ，prefer 國宿，一星期大約四日喺宿。性格唔算太摺亦都唔係yo 嗰類人，有正正常常上吓莊玩吓活動咁，乾淨企理。有意請telegram pmhttps://t.me/salai296,,,,2,2,,,
year 4 仲讀唔讀到暑sem?,正常未grad已經有offer la😂怕咩,但攞 minor做 reason唔知得唔得,就咁個system唔會比你reg,1,8,,,,,
shaw宿换ih,痴線個個都想shaw換ihouse今年做咩事,我都想 shaw 換ihouse 女🙏🏻🙏🏻,女,1,4,,,,,
換宿一問 急！！！,+1 想知,其實換宿即係點？係真係有程序可以換到定係只係私下換，就好似長期屈蛇咁😖揀i house但係派咗shaw，想搵人換🥲 希望有好人願意解答,,,,2,3,,,
SHFA Work Experience Programme,😢😢,係咪仲未有消息？,+1 之前問佢仲話今個星期會繼續出notification 😥,6,81,,,,,
招Shaw 男roommate (nds勿擾),Tg @idkarr,,,,,,,,1,1
招伯宿男rm,Push,Pm,Pm,1,3,,,,,
好討厭自己既全部,可悲嘅一生🙁,討厭自己既生活又咩都唔敢試🙁,更討厭日日喺屋企怨既自己🙁,1,5,,,,,
招uc陳宿男roommate,pm！！,Me!,Hello 同招陳宿rm😓,1,13,,,,,
爆cred申請係咪好難批?,我爆crd係包含virtual exchange 講到對方prof + 院校對自己嘅pros,1）你要表達到你有能力handle + 個course對你有莫大益處2）你個計畫只係計畫 你之後唔洗跟 所以寫到就得3）成績：3.3左右我諗容易啲 我自己year2先拎dean year1 試過gpa 2.9😂 4）原因要make sense，寫信要有禮貌我大概都真係寫我好驚defer 屋企財政能力 + 想早點畢業工作 需要實用經驗等等,我year1，2讀得太少然後好後悔，然後year3 爆足sem1/2/暑sem,9,,,,,,
☺️,需要全年宿位的同學喔～,我現在有shaw的宿位，想要換去和ihouse的朋友住。所以希望找一個同樣想從ihouse換到shaw的同學～目前shaw這邊的宿位還沒有選樓，可以你決定！麻煩感興趣的同學pm我啦，謝謝！！,,,,1,2,Shaw -> ihouse 換宿,,
有冇uc 陳宿男仔未有rm🥲,pm,,,,,,,,1,1
有無人覺得CUHK Goop嚟嚟去去都係嗰幾條友用？,拍咩😂😂,有病就學白卡kenny做youtuber賺錢啦,有病唔係大撚哂，仲有更多比你更需要既人,1,150,,,,,
Hon GPA 3.9 但CGPA 3.28…,咪係擺明非major course hea讀啦,咁差少少first hon都好可惜😅,Hon gpa 咁高冇可能拉唔到,1,14,,,,,
UC女仔招hsh roommate,或者有無人想swap?想要陳宿,,,,,,,,1,1
有冇人成日蹭wifi,會 因為用wifi慳電啲,我就係😹成日出街第一件事就係睇下有冇免費Wi-Fi,,,,1,2,,,
GESC2410,唔建議,唔建議,所以建唔建議讀?🙏🏻,2,7,,,,,
ocamp淨係俾玩日頭。。。？,之前去過poly嗰啲,暗camp好玩好多,以防疫為名,1,15,,,,,
SHFA Programme,咩department?,14 onboard,冇,2,6,,,,,
男仔得162 高 仲有冇得救？,人生已完,扮得似就話可愛啫，扮得7就惡頂架喇,扮c?,1,11,,,,,
__,Lecturer hall,通常喺喺Med can 張枱屙嗰個人個口入面屙,通常喺Med can 張枱屙,17,27,,,一人一個cu屙屎好去處,,
人生好苦,是🙁,人生有第九味,Why,1,3,,,,,
有冇人做shaw ocamp ec?,例如呢,shaw ocamp好多靚仔,想知使唔使過夜？,1,6,,,,,
一個無生活無人生既,Yes,人生好難🤔,是🙁,1,8,,,,,
有冇恆生樓絲未有roommate🥺,Dm 傾下？,我未有rm ar 🙋🏻‍♀️🙋🏻‍♀️,,,,1,2,,,
GESC Shaw書通,有啦,Year 3有無機會reg到…,GESC2410 Concise Financial Literacy有冇人知點,3,6,,,,,
☺️,推,推,up,1,6,,,Fung scholarship,,
想trans CS一問,覺得3150好簡單 利申拎A,此po已完。世上再添一位計算機科學家🤗,,,,1,57,,,
Sydney u sem 1 exchange,想知ching GPA幾多🥹想去Sydney or melb U exchange,有冇人Sydney U sem 1 exchange ar?,,,,1,2,,,
潛入yia 同男朋友野戰,收皮啦麻甩佬,我係真絲,This is gay,1,6,,,,,
男仔伯宿招roommate,點都試一試 揾唔到就隨緣,認真答你 份list bhall 2/3男都nds 剩底仲有係宿生會現莊上莊 所以你goop應該唔會咁易搵到,Push,1,21,,,,,
想問下UG有冇得take postgrad嘅course,問嗰個dept嘅admin最保險,通常要問department攞consent,e.g. cs只要滿足到prereq 就reg得,1,5,,,,,
__,Pm,Pm,Pm,2,8,,,有冇人識韓文想一齊用韓文傾吓計～,,
Sowk未收到email準備收隊,你yr1？ 讀咩科,算啦 下年繼續努力啦😂,其實唔係真係嬲 lmao,4,20,,,,,
有冇人知FASS幾時出？,Push,想知會批幾多錢😌😌,,,,2,2,,,
今年Business Dean’s list GPA,寫完即刻請我,1,scholarship 嗰行順便寫埋,8,28,,,,,
有冇Tran Pacc嘅朋友,"小弟原本係Econ,收到Pacc offer",,,,,,,,1,1
SOWK interview,佢直接話我地呢批係掹車邊,係,,,,5,48,,,
唔知點解有人對我講「 巴打」我會下意識打冷震,射咗？,巴打你做咩打冷震？,心生抗拒,1,3,,,,,
有冇人都tran咗COMM,仲未有result🥺🥺,係咪tran sowk?🙏🏻🥹,Thankyou🥹🥹🙏🏻,1,18,,,,,
Shaw hall fee,下次學費交少啲,啱啱見到shaw退咗hall嘅按金，想問sem 2嘅hall fee係咪唔會好似按金咁退落銀行，定係下次學費交少啲？,,,,1,2,,,
Trans 哲學,"認識有人dse幾高分原本讀得幾好都tran哲學, 不過兩年前了",欣賞,你個系一定唔多,1,9,,,,,
有冇人join過Cuhk Buddy Program?,"同exchange相關的program,幫嚟cu的外國人融入香港",咩嚟,push,2,4,,,,,
想問大家shaw既宿費同按金退左未？,咁你點算😥,"Cls, 仲未退錢",小額錢債,2,5,,,,,
有無人想一齊行山,tg group一條友都無🤬,去爆,https://t.me/+TsZtnDlvo6xiMzU9,2,21,,,,,
煲煲豬腳薑，激死朱元璋,阿姐啊～你都唔念親情既,燒燒牛舌芯 饞死李佳芯,https://youtu.be/2xxxGuLbCKU,1,6,,,,,
點解要每個月比幾百蚊買口罩,平口罩會有毛粒,我日日帶6毫子個， 有咩問題,真 垃圾桶執都好多,1,6,,,,,
__,想知幾錢！,放FN書 全新 有意PM,價錢可以PM傾,1,3,,,放FH書,,
唔返工 唔讀書 垃圾既我,阿姨我不想努力了,眼神已死,,,,1,2,,,
big4 intern referral (2),就算係今年嘅 你7月先嚟揾會唔會遲咗啲,2021 post =.=,tg cannot find you,2,11,,,,,
哲學course係咪要睇好多書？,Sd咗,最多咪間中睇下readings 除非寫research paper啫,我send唔到pm😓😓😓,1,13,,,,,
Dean’s list出左未？,每年差唔多？,Oh thx,上年5/7先出,1,3,,,,,
冇fd但又想玩大o咁點？,笑死啦，😭擺明係個d大o搞手嚟，驚死d人唔玩大o?你驚就咪撚誤導迷途小羔羊入嚟啦😆,唔好害人啦 一定唔會係好多人先,同意,1,10,,,,,
想trans新傳,👍🏻,想問有冇人成功trans 到🥺,琴日先deadline~ 未咁快啦,4,14,,,,,
UC女仔陳宿搵rm😵‍💫,😆,pm,,,,2,4,,,
edwin 嘅fina2310final好難,真 做完覺得爛grade了,原來唔係得我一個咁樣利申空左差不多3分1,真😢唔知係咪自己問題 空咗好多,1,3,,,,,
買宿！,真係好需要宿位 價錢可議！tg: treerinihithand,,,,,,,,1,1
__,你收唔收到interview,Pm?🙏🏻🙏🏻,pm plz🥺,4,78,,,Sowk入嚟!!🙆🏻‍♀️,,
邊啲math course係要non-math major讀,2550,*MIEG,BMED MIED 計唔計 math major 😂😂,1,7,,,,,
想問有冇人啱啱暑sem讀完西班牙文🤧🤧,Pm,Pm,放sources,1,4,,,,,
大家平均一個sem讀幾多cred,有興趣都唔一定讀得嚟，你可以話有興趣就可能讀得嚟，但係冇興趣唔一定讀唔嚟，有時出路係點，有賴於畢業出嚟既師兄姐可以揾到咩工，以前會考AL年代engine係揾食科，依家dse係醫，個個時代都唔同,見大家討論左咁耐，讀書可以為興趣之餘點解唔可以為前途？我覺得為興趣讀書唔一定就無前途喎，你某一科勁就自然有前途，咁你要係個科勁，你就要有興趣，所以你對讀個科無興趣反而無前途？,你自以為是幫緊人地啫..呢個世界人人嘅觀點同價值觀都唔一樣,30,,,,,,
qfrm or qfin,Sor語癌發作Fo人工都有幾多真係高過medic*,都真係唔少高過medic🤣,Fo人工都幾多係高過medic,1,23,,,,,
有冇絲宜家無嘢做想傾甜？,Pm,Pm,,,,1,13,,,
想trans sowk,Can pm?,想了解,做多啲Community service 有分加的,11,60,,,,,
CC換Hall🥺女仔 ih調其他！,你冇撚唔代表你係女,收皮啦狗公,Pm,1,3,,,,,
有冇人有興趣join camp 😆,Pm~,Pm,Pm,1,16,,,,,
cu官方出嘅lego,Cu公然抄襲？,📷,有冇人買過cu好耐之前出嘅 souvenir lego 係大學圖書館或者煲底 而家冇得賣想問有冇人有零件說明書 想自己diy買零件砌,1,3,,,,,
想請教下UGFH Li Chi Tat 伏唔伏......,真 唔係好認真寫文都有A-,Grade fair,啊達教書好有趣 會連繫到日常生活； tutorial participation方面佢好鼓勵大家講嘢（佢比較着重思辯）會幫大家揾邏輯漏洞 所以上佢堂好開心,1,8,,,,,
Med can食到鐵絲,最後3日,佢比舊屎你都無仇報👊,投咩訴 都唔做了,1,14,,,,,
__,真係有人信？,穿過仲門爛gpa,拍片行過道門,1,6,,,ugea2100 謝世杰,,
有冇人想教人做手工？,Ok,想了解+1,Pm me,1,12,,,,,
cc女仔ih求換其他hall,Pm plz!,已經換啦 唔好意思,request左,1,7,,,,,
今日天氣好熱,未到七八月🫤,,,,,,,,1,1
根據資訊拎first hon無望🙁,應該問係唔係個個都有first hon,因為你話quit u rejupas，呢d好唔負責任,因為佢無first hon,3,18,,,,,
__,全仔正啊,全仔,有女？,1,4,,,有冇人想去船p,,
UGEA2100,Pm,pm,,,,4,155,,,
Mphil,之後會讀MPhil,咩major？,有冇人讀緊或者之後會讀mphil? 想揾人交流吓,1,3,,,,,
__,Pm,Pm 或者tg我 lnl20222,Pm,1,10,,,有冇uc 伯宿3人房 想part,,
Public Health FYP,Hello 👀 我宜家做緊一份關於大學生 情緒 / 精神健康 相關嘅研所，旨在揾出大學生係尋求 情緒/精神健康服務 嘅 困難、阻礙，希望大家可以幫幫手，填呢份 篩選form，符合要求嘅話我會聯絡你做一個約一個鐘嘅interview🙆🏻‍♀️如你:- 八大undergraduate local student- 有情緒 / 精神健康 困擾，而又未曾尋求專業服務 (如睇心理醫生)- 認為 / 察覺自己有相關嘅困擾多謝大家🙇🏻‍♀️祝各位過三爆四https://docs.google.com/forms/d/e/1FAIpQLSc3Xo_zqfSqp7eJis-QK5zpe6JZ8tnl4dfTIFbBs7Vjw34Gwg/viewform,,,,,,,,2,1
有無ugea2190嘅同學仔,Thx,Ching想問下你exam形式係點？需唔需要讀嗮佢比個d readings?,應該唔同，我地20 deadline,3,60,,,,,
大家點late drop到 我有intern都唔得…,咁可能仲攪緊 你可以再send email問下,Prove*,我已經俾埋contract做proof 但都未有結果,1,21,,,,,
有無人試過reg科後drop曬啲科？,最低requirements喺9cred 大家有無試過用特別理由drop曬佢哋/讀少過9cred？,,,,,,,,1,1
入宿後頭兩個星期quit宿是咪唔使比錢￼,Expired,我想收宿位🙏🏻 tg lnl20222,可以pm我嗎?~,3,9,,,,,
上咗莊  點揾proof for ECA? 用嚟apply宿,reg咗soc之後department或者唔知咩部門就會send個證明俾你話成功reg到soc喇上面會有晒莊員嘅名用嗰份嘢去就ok,Pushhh,,,,2,2,,,
Fina 2310有冇source,Sample paper 冇solutions 真係唔識,,,,,,,,1,1
__,想知solutions...,點解冇人睇,,,,1,6,Edwin Mok FINA2310 Final,,
偷呃拐騙的大陸人～,樓上請死返去探探,yr4 a0處巴 想揾sp..🧒🏻,唔同話自己根本冇做過vetting咩,1,13,,,,,
誠邀大家幫小弟做fyp問卷,一d誠意都冇，點幫🙄,done,Yes,1,7,,,,,
STEM Intern 有幾多日paid leave,無 斷日扣 一日350,留名,0,1,3,,,,,
有冇人七月份會返港交所HKEX intern ￼?,"冇收到RISQ finalized email, 但Jun22 收到on-boarding email",我都未收到🙈我都係差唔多時間開始做,Btw如果之後收到大家可以互相update下🙏🏻🙏🏻🙇‍♂️,3,6,,,,,
有冇ugec1271同學仔,堂都未上曬,無溫過,考試呢,1,6,,,,,
Proof for ECA 點拎,Pushhhhh 真心想知🤧,有冇人知,Pushhhhhhhh,1,6,,,,,
fyp問卷求幫手 動漫＆廣東話,係一份有關動漫同廣東話嘅問卷 跪求唔識日文嘅朋友幫手 大約花你5分鐘㗎咋https://forms.gle/EgieRAgo74R2TnAz7,,,,,,,,1,1
Internal transfer,咩意思唔get,因為未close,想知點解個application keep住係’Applied’ 而唔係’Submitted’?,1,3,,,,,
有冇人有￼apply cu credit card,垃圾卡嚟，你估申請黑咭？,校友個張易唔易申請😂,,,,2,13,,,
⛄️,Pm please!,pm pls,pmmm🙇🏻‍♀️,3,16,,,[Law入] 放Vac scheme app form,,
__,Pm pls,Dm pls🙏🏽,Pm pls🙏🏻,2,24,,,UGEA2100 攞過A range既入一入嚟🆘🆘,,
__,Push!,Push,Ok pm?,1,5,,,招陳宿三人房男roommate🥹,,
［UC求換宿/求rm］派咗HSH 想換CCHH,如題UC女仔求換宿/求rm 唔想同nds part房🙏🏻🙏🏻有意tg https://t.me/bullegummy,,,,,,,,1,1
__,1110唔算難讀，workload輕，讀語言又同其他中文系同一起跑線，讀得過1401外系會chur死，不過用黎體驗中文系日常就一流1211冇讀過,有一個A就已經ok勁,a range是他們的，我甚麼都沒有,11,5,,,CHLL,,
__,我話因為疫情先係咁 講返以前做過嘅義工 同埋未來打算做咩義工,咁你點答？,我都唔係做左好多義工 但未至於完全冇 interview嗰陣佢有point out 呢樣嘢 問我點解冇持續做義工🙈,2,19,,,有冇人攞過AIA scholarship,,
隱青 社交障礙 社交恐懼🙁,又唔返工又唔識朋友 自閉隱青🙁,無 剩係識逃避,你會嚟救我嗎,1,15,,,,,
關於AppleCare,主要去library😂,我經常攞出攞入,I see,1,18,,,,,
__,Pushhhh,,,,,,,CC 抽到何宿(MSHH) 想轉明華(MHT)（男）,1,1
搵PE table tennis partner,pm？,可以咩😂,me yr4 can I be exam partner😂 yr1 table tennis a,1,11,,,,,
☠,諗得太完美喇 其實人地冇你想象中認真,佢衰過一次 今次send email之前實check返幾百次確保啱先send,諗住可以再掉？,1,13,,,ENGG 1001被扣grade,,
Sem 2 exchange 一問,push,Push,Push,2,8,,,,,
唉 好憎自己個major,唔使到畢業我而家精神健康已經好差,成世人好長 nursing唔鍾意 來緊嘅學年都會係折磨 之後仲要實習 nursing人工唔係特別高 只係普通 未必足夠你支撐咁耐 你依家都咁唔開心 未到畢業應該就精神健康變到好差,,,,1,79,,,
外貌評分區,pm,Pm,1,2,11,,,,,
點解我可以咁失敗￼,無事的🙁,我就嚟捱唔住,好辛苦,1,14,,,,,
Ugeb2401 Final Exam,出咗grade,拉Curve,應該唔係absolute grade?,2,16,,,,,
Qfin second round interview,Any second in updates?,No,冇架啦 周yf好睇interview㗎,2,62,,,,,
UC ocamp,做咩要還？哈哈,報警lo,Cls,1,26,,,,,
CC華連換文質 $可傾,有興趣留言再pm傾傾！,,,,,,,,1,1
